100 , 47 ms , 67836 
1000 , 69 ms , 135453 
10000 , 75 ms , 567883 
50000 , 125 ms , 1309536 
100 , 55 ms , -1 
1000 , 74 ms , -1 
5000 , 105 ms , -1 
10000 , 128 ms , -1 
